Data;28763 - Estoque de empregos formais - Total - Unidades
07/2018;38.575.609,00
08/2018;38.699.353,00
09/2018;38.850.359,00
10/2018;38.916.964,00
11/2018;38.980.132,00
12/2018;38.637.774,00
01/2019;38.682.440,00
02/2019;38.874.943,00
03/2019;38.836.331,00
04/2019;38.972.715,00
05/2019;39.013.389,00
06/2019;39.072.919,00
07/2019;39.124.544,00
08/2019;39.252.375,00
09/2019;39.414.409,00
10/2019;39.488.567,00
11/2019;39.589.164,00
12/2019;39.281.853,00
01/2020;39.399.646,00
02/2020;39.625.294,00
03/2020;39.348.944,00
04/2020;38.385.241,00
05/2020;38.011.645,00
06/2020;37.981.600,00
07/2020;38.118.972,00
Fonte;ME
