"mes","Dolar","CtBarril","Etanol","GasolProdr","TribEst","TribFed","DistrRev","IPCA","PCTribEst","PIM","EstEmp","CDI","IBC","MRed","GasolNaBomba"
"2018-07",3.82629166666667,284.79998575,0.447255,1.4673584,1.26999157243545,0.686868,0.613527027564552,0.348963337547408,28.3164230197425,77,38575609,6.39,140.97,148006,4.485
"2018-08",3.92921333333333,285.279916266667,0.426735,1.4880028,1.26295795820842,0.686868,0.595436241791582,0.0664692071518873,28.3174430091574,87.5,38699353,6.39,143.33,149095,4.46
"2018-09",4.096575,323.876328666667,0.495045,1.6956659,1.25809553281659,0.686868,0.555325567183406,0.337885136355427,26.8193462548836,72.3,38850359,6.39,135.87,149895,4.691
"2018-10",3.75897692307692,308.010935846154,0.536598,1.499712,1.32572485054913,0.686868,0.656097149450871,0.227103124435615,28.1769362497158,80.6,38916964,6.4,139.75,149095,4.705
"2018-11",3.78119285714286,250.519544714286,0.491346,1.1974482,1.3078135363212,0.686868,0.829524263678801,-0.166173017879718,28.9788064773144,75.2,38980132,6.4,137.61,148682,4.513
"2018-12",3.88477777777778,229.298921666667,0.492318,1.2052957,1.2829127066387,0.686868,0.693605593361303,0.0166173017879718,29.4178561485599,59.7,38637774,6.4,136.34,155770,4.361
"2019-01",3.724675,220.280073666667,0.493965,1.1634959,1.25899748012593,0.686868,0.744673619874069,0.204946722051653,28.9557838115439,65.9,38682440,6.4,133.44,175454,4.348
"2019-02",3.72569166666667,236.858710416667,0.507114,1.2112379,1.23139032288085,0.686868,0.613389777119152,0.243720426223587,28.9738899501376,76.1,38874943,6.4,133.74,176280,4.25
"2019-03",3.8555,254.904415769231,0.501957,1.3640196,1.20926185400434,0.686868,0.592893545995658,0.432049846487267,27.7672067509607,73.8,38836331,6.4,138.99,170110,4.355
"2019-04",3.90308333333333,277.542464666667,0.568026,1.458832,1.24460953099492,0.686868,0.53966446900508,0.27141592920354,27.670287483213,81.7,38972715,6.4,139.46,151464,4.498
"2019-05",3.98662857142857,286.596511428571,0.514485,1.5088662,1.28511934422662,0.686868,0.539661455773376,0.0720083077478779,28.3378025187789,82,39013389,6.4,139.26,149699,4.535
"2019-06",3.8554,245.894381333333,0.496422,1.3359511,1.28558776837899,0.686868,0.603171131621015,-0.0221564023839624,29.1648767781077,73.6,39072919,6.4,135.01,149690,4.408
"2019-07",3.77475384615385,242.057033615385,0.505224,1.2570089,1.25151900100837,0.686868,0.613380098991628,0.155094816687737,29.0106398008431,81.7,39124544,6.4,142.92,150196,4.314
"2019-08",4.02208571428571,238.797102428571,0.521748,1.2298821,1.23967373251773,0.686868,0.653828167482274,0.18279031966769,28.616660492099,85.1,39252375,5.9,141.77,151819,4.332
"2019-09",4.1156,260.114813416667,0.505575,1.3048239,1.24000791444045,0.686868,0.629725185559548,-0.0332346035759436,28.3949602573953,78.9,39414409,5.70952380952381,138.29,150867,4.367
"2019-10",4.07968571428571,243.299104357143,0.53649,1.3519746,1.24513708724402,0.686868,0.575530312755982,0.0775474083438685,28.3243195460423,86.3,39488567,5.37826086956522,142.76,150599,4.396
"2019-11",4.16744615384615,262.332777461538,0.563085,1.3913873,1.24106905899274,0.686868,0.559590641007256,0.387737041719343,27.9394205086164,79.1,39589164,4.9,138.84,151250,4.442
"2019-12",4.11218181818182,273.810131727273,0.590949,1.4415018,1.24698853877274,0.686868,0.594692661227256,0.515136355427127,27.3402442177755,59.8,39281853,4.59047619047619,137.54,160096,4.561
"2020-01",4.15099285714286,267.196844571429,0.608715,1.4100461,1.29230203139987,0.686868,0.593068868600129,0.200007510326699,28.1485957612692,71.7,39399646,4.4,133.61,179646,4.591
"2020-02",4.36674166666667,243.14567925,0.617166,1.3269502,1.29675888280008,0.686868,0.632256917199924,0.139399173864063,28.4376947982473,76.6,39625294,4.19166666666667,134.64,181171,4.56
"2020-03",4.89271666666667,166.968496583333,0.545967,1.1112936,1.2852307042607,0.686868,0.789640695739301,0.0545475028163725,29.0841978787214,72.3,39348944,3.94545454545455,136.69,172286,4.419
"2020-04",5.31320769230769,94.0374269230769,0.415476,0.7450161,1.17169394272274,0.686868,0.948945957277262,-0.224305555555556,29.5285771855529,47.4,38385241,3.65,119.12,151517,3.968
"2020-05",5.65388333333333,157.850947,0.426816,0.9379113,1.13718793373905,0.686868,0.681216766260945,-0.169744744744745,29.3847011302081,52.9,38011645,3.0125,119.78,145661,3.86999999999999
"2020-06",5.18789166666667,207.998117666667,0.506574,1.1291129,1.08851060898273,0.686868,0.606934491017275,0.175807057057057,27.0908563708992,59.6,37981600,2.57857142857143,126.17,140429,4.01800000000001
"2020-07",5.28032,227.544550266667,0.506547,1.3323376,1.15619770656076,0.686868,0.504049693439243,0.145495495495495,27.6205854410119,72.2,38118972,2.15,135.87,137654,4.186
"2020-08",5.465225,244.757913833333,0.515808,1.3477406,1.17660163284249,0.686868,0.48898176715751,0.0969923736892278,27.9080083691293,80.4,38362238,1.93571428571429,135.51,137510,4.216
"2020-09",5.390325,220.497906083333,0.515808,1.3477406,1.17660163284249,0.686868,0.48898176715751,0.227336711711712,27.9080083691293,84.8,38681647,1.9,137.06,139961,4.216
"2020-10",5.6428,227.918036071429,0.642384,1.5641783,1.21642937365539,0.69,0.243140326344614,0.539545795795796,27.9245296895362,91.3,39074028,1.9,139.47,141908,4.356132
